
POST /user/login 200 [09/Jan/2025:18:36:12 +0000] - 148.290 ms localhost
GET /services/dashboard.component.css.map 404 [09/Jan/2025:18:36:12 +0000] - 5.443 ms localhost
GET /services/layout.component.css.map 404 [09/Jan/2025:18:36:12 +0000] - 4.665 ms localhost
GET /service/services?isApproved=true 304 [09/Jan/2025:18:36:15 +0000] - 64.110 ms localhost
GET /service/uploads/ 400 [09/Jan/2025:18:36:15 +0000] - 47.064 ms localhost
GET /services/user-services.component.css.map 404 [09/Jan/2025:18:36:15 +0000] - 8.784 ms localhost
GET /service/name/Event%20Coverage 200 [09/Jan/2025:18:36:18 +0000] - 49.737 ms localhost
GET /services/user-service-details.component.css.map 404 [09/Jan/2025:18:36:18 +0000] - 3.913 ms localhost
GET /service/uploads/1735019370508_videographyimage.jpg 304 [09/Jan/2025:18:36:18 +0000] - 76.679 ms localhost
GET /service/uploads/1735019370509_videographyimage.jpg 304 [09/Jan/2025:18:36:18 +0000] - 63.005 ms localhost
GET /service/uploads/1735019370511_preweddingshoot.jpeg 304 [09/Jan/2025:18:36:18 +0000] - 46.342 ms localhost
GET /booking/service/Event%20Coverage/673ac7d8306657184e800578 304 [09/Jan/2025:18:36:20 +0000] - 68.821 ms localhost
GET /services/details 200 [09/Jan/2025:18:37:07 +0000] - 10.715 ms localhost
GET / - [09/Jan/2025:18:37:07 +0000] - - ms localhost
GET /@vite/client 304 [09/Jan/2025:18:37:07 +0000] - 5.210 ms localhost
GET /styles.css 200 [09/Jan/2025:18:37:07 +0000] - 10.107 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:37:07 +0000] - 7.934 ms localhost
GET /main.js 200 [09/Jan/2025:18:37:07 +0000] - 12.763 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:37:07 +0000] - 4.124 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:37:07 +0000] - 2.920 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:37:07 +0000] - 3.561 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:37:07 +0000] - 5.533 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:37:07 +0000] - 19.427 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:37:07 +0000] - 25.565 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:37:07 +0000] - 59.189 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:37:07 +0000] - 177.237 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:37:07 +0000] - 136.069 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:37:07 +0000] - 147.704 ms localhost
GET /services/login.component.css.map 404 [09/Jan/2025:18:37:07 +0000] - 23.316 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:37:07 +0000] - 155.803 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:37:07 +0000] - 157.581 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:37:07 +0000] - 247.402 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:37:07 +0000] - 137.625 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:37:07 +0000] - 5.701 ms localhost
POST /user/login 200 [09/Jan/2025:18:37:13 +0000] - 164.090 ms localhost
GET /services/dashboard.component.css.map 404 [09/Jan/2025:18:37:13 +0000] - 3.418 ms localhost
GET /services/layout.component.css.map 404 [09/Jan/2025:18:37:13 +0000] - 3.989 ms localhost
GET /services/user-services.component.css.map 404 [09/Jan/2025:18:37:16 +0000] - 8.518 ms localhost
GET /service/services?isApproved=true 304 [09/Jan/2025:18:37:16 +0000] - 83.042 ms localhost
GET /service/uploads/ 400 [09/Jan/2025:18:37:16 +0000] - 50.654 ms localhost
GET /service/name/Catering 304 [09/Jan/2025:18:37:19 +0000] - 39.590 ms localhost
GET /service/uploads/1735722969405_chinesecuisine.jpg 304 [09/Jan/2025:18:37:19 +0000] - 69.571 ms localhost
GET /services/user-service-details.component.css.map 404 [09/Jan/2025:18:37:19 +0000] - 13.205 ms localhost
GET /service/uploads/1735722969363_buffetservice.webp 304 [09/Jan/2025:18:37:19 +0000] - 47.015 ms localhost
GET /booking/service/Catering/673ac7d8306657184e800578 304 [09/Jan/2025:18:37:20 +0000] - 37.719 ms localhost
GET /services/details 200 [09/Jan/2025:18:39:37 +0000] - 10.898 ms localhost
GET / - [09/Jan/2025:18:39:38 +0000] - - ms localhost
GET /@vite/client 304 [09/Jan/2025:18:39:38 +0000] - 3.452 ms localhost
GET /styles.css 200 [09/Jan/2025:18:39:38 +0000] - 3.432 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:39:38 +0000] - 3.471 ms localhost
GET /main.js 200 [09/Jan/2025:18:39:38 +0000] - 12.209 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:39:38 +0000] - 3.707 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:39:38 +0000] - 3.342 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:39:38 +0000] - 15.361 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:39:38 +0000] - 17.349 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:39:38 +0000] - 21.282 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:39:38 +0000] - 28.041 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:39:38 +0000] - 31.180 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:39:38 +0000] - 223.393 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:39:38 +0000] - 202.777 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:39:38 +0000] - 206.321 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:39:38 +0000] - 205.064 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:39:38 +0000] - 199.740 ms localhost
GET /services/login.component.css.map 404 [09/Jan/2025:18:39:38 +0000] - 15.480 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:39:38 +0000] - 213.806 ms localhost
