GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_core.js.map 200 [18/Apr/2025:19:29:51 +0000] - 63.658 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-XWLXMCJQ.js.map 200 [18/Apr/2025:19:29:51 +0000] - 54.847 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-P6U2JBMQ.js.map 200 [18/Apr/2025:19:29:51 +0000] - 68.509 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/rxjs.js.map 200 [18/Apr/2025:19:29:51 +0000] - 234.135 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KPU55VW5.js.map 200 [18/Apr/2025:19:29:51 +0000] - 523.954 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common_http.js.map 200 [18/Apr/2025:19:29:51 +0000] - 98.438 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_platform-browser.js.map 200 [18/Apr/2025:19:29:51 +0000] - 55.506 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KHJLBV7G.js.map 200 [18/Apr/2025:19:29:51 +0000] - 109.008 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-UWVBNKXZ.js.map 200 [18/Apr/2025:19:29:52 +0000] - 109.806 ms localhost
GET /chunk-64PX7TW2.js 200 [18/Apr/2025:19:29:52 +0000] - 10.220 ms localhost
GET /chunk-KSELMSGV.js 200 [18/Apr/2025:19:29:52 +0000] - 21.953 ms localhost
GET /favicon.ico 200 [18/Apr/2025:19:29:52 +0000] - 30.721 ms localhost
GET /chunk-NEDMBWF5.js 200 [18/Apr/2025:19:29:52 +0000] - 28.004 ms localhost
GET /chunk-J7PPH75M.js 200 [18/Apr/2025:19:29:52 +0000] - 12.515 ms localhost
GET /chunk-KJ77OHGA.js 200 [18/Apr/2025:19:29:52 +0000] - 8.442 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-TI4NIV3R.js.map 200 [18/Apr/2025:19:29:52 +0000] - 13.796 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_router.js.map 200 [18/Apr/2025:19:29:52 +0000] - 46.037 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/ngx-socket-io.js.map 200 [18/Apr/2025:19:29:52 +0000] - 48.831 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/emoji-picker-element.js.map 200 [18/Apr/2025:19:29:52 +0000] - 39.859 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_forms.js.map 200 [18/Apr/2025:19:29:52 +0000] - 40.132 ms localhost
GET /login.component.css.map 200 [18/Apr/2025:19:29:52 +0000] - 8.794 ms localhost
POST /api/user/login 200 [18/Apr/2025:19:29:59 +0000] - 647.696 ms localhost
GET /chunk-3QULYRM7.js 200 [18/Apr/2025:19:29:59 +0000] - 25.420 ms localhost
GET /chunk-ULRPEUP5.js 200 [18/Apr/2025:19:29:59 +0000] - 9.421 ms localhost
GET /chunk-D3RU6VCD.js 200 [18/Apr/2025:19:29:59 +0000] - 29.295 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/bootstrap.js?v=ffa03c27 200 [18/Apr/2025:19:29:59 +0000] - 30.532 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common.js?v=ffa03c27 200 [18/Apr/2025:19:29:59 +0000] - 29.405 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chart__js.js?v=ffa03c27 200 [18/Apr/2025:19:29:59 +0000] - 32.855 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/bootstrap.js.map 200 [18/Apr/2025:19:30:00 +0000] - 135.588 ms localhost
GET /dashboard.component.css.map 200 [18/Apr/2025:19:30:00 +0000] - 13.882 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common.js.map 200 [18/Apr/2025:19:30:00 +0000] - 37.165 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chart__js.js.map 200 [18/Apr/2025:19:30:00 +0000] - 112.823 ms localhost
GET /layout.component.css.map 200 [18/Apr/2025:19:30:00 +0000] - 32.741 ms localhost
GET /user-dashboard.component.css.map 200 [18/Apr/2025:19:30:00 +0000] - 20.685 ms localhost
GET /chunk-SY75KSFI.js 200 [18/Apr/2025:19:30:04 +0000] - 15.171 ms localhost
GET /user-chat.component.css.map 200 [18/Apr/2025:19:30:04 +0000] - 55.099 ms localhost
GET /api/chat/674e8a6920bc39246157f503 200 [18/Apr/2025:19:30:07 +0000] - 283.075 ms localhost
POST /api/chat/upload 500 [18/Apr/2025:19:30:16 +0000] - 135.365 ms localhost
