GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:12:35:48 +0000] - 283.124 ms localhost
GET /styles.css.map 200 [23/Nov/2024:12:35:48 +0000] - 6.982 ms localhost
GET /favicon.ico 304 [23/Nov/2024:12:35:52 +0000] - 5.384 ms localhost
GET / 200 [23/Nov/2024:12:37:22 +0000] - 16.795 ms localhost
GET /@vite/client 304 [23/Nov/2024:12:37:22 +0000] - 8.287 ms localhost
GET /polyfills.js 304 [23/Nov/2024:12:37:22 +0000] - 6.506 ms localhost
GET /main.js 200 [23/Nov/2024:12:37:22 +0000] - 6.819 ms localhost
GET /styles.css 200 [23/Nov/2024:12:37:22 +0000] - 5.918 ms localhost
GET / - [23/Nov/2024:12:37:22 +0000] - - ms localhost
GET /styles.css.map 200 [23/Nov/2024:12:37:23 +0000] - 3.790 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:12:37:23 +0000] - 3.838 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:12:37:23 +0000] - 9.072 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:12:37:23 +0000] - 131.411 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:12:37:23 +0000] - 76.935 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:12:37:23 +0000] - 83.183 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:12:37:23 +0000] - 19.972 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:12:37:23 +0000] - 30.339 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:12:37:23 +0000] - 133.780 ms localhost
GET /login.component.css.map 200 [23/Nov/2024:12:37:23 +0000] - 74.311 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:12:37:23 +0000] - 187.384 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:12:37:23 +0000] - 130.570 ms localhost
POST /user/login 200 [23/Nov/2024:12:37:33 +0000] - 706.166 ms localhost
POST /user/verifyOtp 404 [23/Nov/2024:12:37:50 +0000] - 29.975 ms localhost
GET / - [23/Nov/2024:12:41:23 +0000] - - ms localhost
GET / 200 [23/Nov/2024:12:49:12 +0000] - 124.245 ms localhost
GET /@vite/client 304 [23/Nov/2024:12:49:12 +0000] - 13.116 ms localhost
GET /polyfills.js 304 [23/Nov/2024:12:49:12 +0000] - 10.841 ms localhost
GET /main.js 304 [23/Nov/2024:12:49:12 +0000] - 9.803 ms localhost
GET /styles.css 200 [23/Nov/2024:12:49:12 +0000] - 10.019 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:12:49:12 +0000] - 8.728 ms localhost
GET /styles.css.map 200 [23/Nov/2024:12:49:12 +0000] - 7.967 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:12:49:13 +0000] - 427.012 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:12:49:13 +0000] - 422.298 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:12:49:13 +0000] - 475.490 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:12:49:13 +0000] - 482.753 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:12:49:13 +0000] - 637.472 ms localhost
GET /login.component.css.map 200 [23/Nov/2024:12:49:13 +0000] - 121.874 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:12:49:13 +0000] - 235.361 ms localhost
