GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [25/Jan/2025:12:25:20 +0000] - 3018.996 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [25/Jan/2025:12:25:20 +0000] - 2032.773 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [25/Jan/2025:12:25:20 +0000] - 2023.665 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [25/Jan/2025:12:25:20 +0000] - 2082.163 ms localhost
GET /login.component.css.map 200 [25/Jan/2025:12:25:21 +0000] - 5.389 ms localhost
GET /favicon.ico 304 [25/Jan/2025:12:25:21 +0000] - 17.057 ms localhost
GET / - [25/Jan/2025:12:29:14 +0000] - - ms localhost
GET /login 200 [25/Jan/2025:13:18:43 +0000] - 162.445 ms localhost
GET /@vite/client 304 [25/Jan/2025:13:18:45 +0000] - 8.098 ms localhost
GET /styles.css 200 [25/Jan/2025:13:18:45 +0000] - 7.937 ms localhost
GET /polyfills.js 304 [25/Jan/2025:13:18:45 +0000] - 4.908 ms localhost
GET /main.js 200 [25/Jan/2025:13:18:45 +0000] - 86.105 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [25/Jan/2025:13:18:45 +0000] - 4.421 ms localhost
GET /favicon.ico 304 [25/Jan/2025:13:18:47 +0000] - 13.574 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [25/Jan/2025:13:18:50 +0000] - 65.952 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [25/Jan/2025:13:18:50 +0000] - 47.118 ms localhost
